"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"MYCTOPHUM HUMBOLDTI","HUMBOLDTS LANTERNFISH",53,"--DNU--","823180500000000","MYCFAM","876214",NA,"F",NA,NA,"AFS-1991",NA,"|SV: LUMPED ALL SPP INTO FAMILY, DIFFICULT TO ID, SV CHECK & CHANGE TO 056","Myctophum humboldti","Humboldts Lanternfish","053",1995-08-09,"BK",NA,NA
"MACROZOARCES AMERICANUS EGGS","OCEAN POUT EGGS",NA,NA,"823218310010100","MACAM1","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MACTRIDAE","SURFCLAM, DUCKCLAM, AND GAPER UNCL",NA,NA,"512081900000000","MACFA1","551525",NA,"F",NA,"LAMARCK,1809","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MACTROMERIS POLYNYMA","ARCTIC SURFCLAM",407,NA,"512081907010000","MACPOL","5515251001",NA,"S",NA,"(STIMPSON,1860)","AFS-1988",NA,"|SV: COMMON NAME CORRECTED TO AFS-1988","Mactromeris polynyma","Arctic Surf Clam (Live)","407",1995-08-09,"BK",NA,NA
"MACTROMERIS POLYNYMA CLAPPER","ARCTIC SURFCLAM CLAPPER",408,NA,NA,NA,"NONE",NA,NA,NA,NA,"RSI-1996",NA,"SPECIAL RSI CODE |SV: SHELLS WITH INTACT HINGE, SUGGEST ANOXIA","Mactromeris polynyma","Arctic Surf Clam (Clapper)","408",1995-08-09,"BK",NA,NA
"MAERA DANAE",NA,NA,NA,"411011205010000","MAEDAN","6169210801",NA,"S",NA,"STIMPSON, 1853",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MAERA LOVENI",NA,NA,NA,"411011205100000","MAELOV","6169210802",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MAERA SP",NA,NA,NA,"411011205000000","MAERSP","61692108",NA,"G",NA,"LEACH,1814",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MAGELONA ROSEA",NA,NA,NA,"214150601040000","MAGROS","5001440104",NA,"S",NA,"MOORE",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MAJIDAE","SPIDER CRAB UNCL",317,"SPIDERU","411021800000000","MAJFAM","618701",NA,"F",NA,NA,"AFS-1989",NA,"|SV: MINOR EDITS","Majidae sp","Spider Crab Uncl","317",1998-12-31 23:00:00,"FPA",NA,NA
"MAKAIRA INDICA","BLACK MARLIN",940,"BLAMARL",NA,NA,"8850060202",NA,"S",NA,"(CUVIER)","AFS-1991",NA,NA,"Makaira indica","Black Marlin","940",1995-08-09,"BK",NA,NA
"MAKAIRA NIGRICANS","BLUE MARLIN",707,"BLUMRL",NA,NA,"8850060201",NA,"S",NA,"LACEPEDE","AFS-1991",NA,NA,"Makaira nigricans","Blue Marlin","707",1995-08-09,"BK",NA,NA
"MALACANTHUS PLUMIERI","SAND TILEFISH",624,"SATILE",NA,NA,"8835220301",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Malacanthus plumieri","Sand Tilefish","624",1995-08-09,"BK",NA,NA
"MALDANE SARSI",NA,NA,NA,"214020307010000","MALSAR","5001630301",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MALDANE SP",NA,NA,NA,"214020307000000","MALDSP","50016303",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MALDANIDAE","BAMBOO WORM UNCL",NA,NA,"214020300000000","MALFAM","500163",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MALLOTUS VILLOSUS","CAPELIN",38,"CAPELIN",NA,NA,"8755030201",NA,"S",NA,"(MUELLER, 1776)","AFS-1991",NA,NA,"Mallotus villosus","Capelin","038",1995-08-09,"BK",NA,NA
"MANTA BIROSTRIS","MANTA",272,"MANTA",NA,NA,"8713080101",NA,"S",NA,NA,"AFS-1991",NA,"|SV: COMMON NAME CHANGE AFS-90","Manta birostris","Atlantic Manta","272",1995-08-09,"BK",NA,NA
"MARGARITES SP",NA,NA,NA,"514021002000000","MARGSP","51021003",NA,"G",NA,"GRAY, 1847","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MARGINELLA ROSCIDA","VIRGINIA MARGINELLA",NA,NA,"514080401030000","MARROS","5105150222",NA,"S",NA,"REDFIELD, 1860","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MARPHYSA BELLI",NA,NA,NA,"214050303010000","MARBEL","5001300202",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MARPHYSA SANGUINEA",NA,NA,NA,"214050303040000","MARSAN","5001300201",NA,"S",NA,"MONTAGU, 1815",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"MARPHYSA SP",NA,NA,NA,"214050303000000","MARPSP","50013002",NA,"G",NA,"QUATREFAGES,1866",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLEPTICUS PARRAE","CREOLE WRASSE",674,"CREOLE",NA,NA,"8839010401",NA,"S",NA,"(BLOCH AND SCHNEIDER, 1801)","AFS-1991",NA,"|SV: SPELLING CHANGE AFS-1990","Clepticus parrai","Creole Wrasse","674",1995-08-09,"BK",NA,NA
"CLINIDAE","CLINID UNCL",727,"CLINIDU",NA,NA,"884209",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Clinidae sp","Clinid Uncl","727",1998-12-31 23:00:00,"FPA",NA,NA
"CLINOCARDIUM CILIATUM","HAIRY COCKLE",NA,NA,"512080303010000","CLICIL","5515220101",NA,"S",NA,"(FABRICIUS,1780)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLIONE LIMACINA",NA,NA,NA,"514060201010000","CLILIM","5125060101",NA,"S",NA,"(PHIPPS,1774)","AFS-1988",NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLUPEA HARENGUS","ATLANTIC HERRING",32,"HERRING","823080603010000","CLUHAR","8747010201",NA,"S",NA,"LINNAEUS, 1758","AFS-1991",NA,"MONOTYPIC GENUS IN AREA","Clupea harengus","Atlantic Herring","032",1995-08-09,"BK",NA,NA
"CLUPEIDAE","HERRING UNCL",30,"HERRU","823080600000000","CLUFAM","874701",NA,"F",NA,NA,"AFS-1991",NA,"|SV: DROPPED SP AND MODIFIED COMMON NAME","Clupeidae sp","Herring Uncl","030",1998-12-31 23:00:00,"FPA",NA,NA
"CLUPEIDAE EGGS","HERRING EGGS",NA,NA,"823080600000100","CLUEGG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLUPEIDAE LARVAE","HERRING LARVAE",NA,NA,"823080600000200","CLULAR","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLYMENELLA SP",NA,NA,NA,"214020303000000","CLYMSP","50016302",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLYMENELLA TORQUATA",NA,NA,NA,"214020303020000","CLYTOR","5001630202",NA,"S",NA,"(LEIDY)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLYMENELLA ZONALIS",NA,NA,NA,"214020303030000","CLYZON","5001630203",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CLYPEASTEROIDA","SAND DOLLAR UNCL",330,"DOLLARU","611010200000000",NA,"8152",NA,"O",NA,NA,"BARNS 1994",NA,"|SV: NOTE ONE SP COMMON IN SURVEY AREA SEE 331","Echinoidae sp","Sand Dollar Uncl","330",1998-12-31 23:00:00,"FPA",NA,NA
"CNIDARIA",NA,NA,NA,"050000000000000","CNIDAR","37",NA,"P",NA,"(HATSCHEK, 1888)","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COELORHYNCHUS CARMINATUS","LONGNOSE GRENADIER",93,"LOGREN",NA,NA,"8794010402",NA,"S","S",NA,"AFS-1991",NA,NA,"Coelorhynchus carminatus","Longnose  Grenadier","093",1995-08-09,"BK",NA,NA
"COLUS SP",NA,NA,NA,"514080103000000","COLUSP","51050503",NA,"G",NA,"RODING,1798","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"COLUS STIMPSONI","STIMPSON'S WHELK",346,NA,NA,NA,"5105050329",NA,"S",NA,"(MORCH,1861)","AFS-1988",NA,"|SV: NOTE COMMON NAME NOT RECOGNIZED IN AFS-1988","Colus stimpsoni","Stimpson'S Whelk","346",1995-08-09,"BK",NA,NA
"CONGER OCEANICUS","CONGER EEL",63,"CONGER","823030202010000","CONOCE","8741120101",NA,"S",NA,"(MITCHILL, 1814)","AFS-1991",NA,"FREQ. ID CONFUSION WITH OTHER CONGRIDAE |SV: NOTE, FREQ. ID CONFUSION WITH OTHER","Conger oceanicus","Conger Eel","063",1995-08-09,"BK",NA,NA
"CONGRIDAE","CONGER EEL UNCL",390,"CONGERU","823030200000000","CONFAM","874112",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Congridae sp","Conger Eel Uncl","390",1998-12-31 23:00:00,"FPA",NA,NA
"COOKEOLUS JAPONICUS","BULLEYE",616,NA,NA,NA,"8835170302",NA,"S",NA,"(CUVIER, 1829)","AFS-1991",NA,"|SV: NAME CHANGE AFS-90","Cookeolus boops","Bulleye","616",1995-08-09,"BK",NA,NA
"COPEPODA","COPEPOD UNCL",NA,NA,"411080000000000","COPEPO","6117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CAULOLATILUS CYANOPS","BLACKLINE TILEFISH",562,"BLATILE",NA,NA,"8835220102",NA,"S",NA,"POEY","AFS-1991",NA,NA,"Caulolatilus cyanops","Blackline Tilefish","562",1995-08-09,"BK",NA,NA
"CAULOLATILUS INTERMEDIUS","ANCHOR TILEFISH",623,"BARTILE",NA,NA,"8835220103",NA,"S",NA,NA,"AFS-1991",NA,"|SV: CORRECTED COMMON NAME TO AFS-1980 STANDARD","Caulolatilus intermedius","Gulf Bareye Tilefish","623",1995-08-09,"BK",NA,NA
"CAULOLATILUS MICROPS","BLUELINE TILEFISH",621,"GRATILE",NA,NA,"8835220104",NA,"S",NA,NA,"AFS-1991",NA,"|SV: CORRECTED COMMON NAME TO AFS-1980 STANDARD","Caulolatilus microps","Gray Tilefish","621",1995-08-09,"BK",NA,NA
"CAVOLINIIDAE",NA,NA,NA,"514060100000000","CAVFAM","511302",NA,NA,NA,NA,"AFS-1988",NA,"NODC ERROR AS CAVOLINIDAE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CELLOPHANE","CELLOPHANE",NA,NA,"932020101030000","CELLOP","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CELLOPHANE CIGARETTE","CELLOPHANE CIGARETTE PACKAGE",NA,NA,"932020101040000","CELCIG","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CENTROPAGES SP",NA,NA,NA,"411080401000000","CENTSP","61181701",NA,"G",NA,"KROYER,1849",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CENTROPAGES TYPICUS",NA,NA,NA,"411080401040000","CENTYP","6118170106",NA,"S",NA,"KROYER, 1849",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CENTROPOMUS UNDECIMALIS","COMMON SNOOK",497,"SNOOK",NA,NA,"8835010105",NA,"S",NA,"(BLOCH, 1792)","AFS-1991",NA,"|SV: COMMON NAME CHANGE AFS-1990","Centropomus undecimalis","Snook","497",1995-08-09,"BK",NA,NA
"CENTROPRISTIS SP",NA,NA,NA,"823217003000000","CENTS1","88350203",NA,"G",NA,NA,"AFS-1991",NA,"|FH: CORRECTED TYPO",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CENTROPRISTIS OCYURUS","BANK SEA BASS",526,"BASEABAS",NA,NA,"8835020304",NA,"S",NA,"(JORDAN AND EVERMANN)","AFS-1991",NA,NA,"Centropristis ocyurus","Bank Sea Bass","526",1995-08-09,"BK",NA,NA
"CENTROPRISTIS PHILADELPHICA","ROCK SEA BASS",527,"ROSEABAS",NA,NA,"8835020305",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Centropristis philadelphica","Rock Sea Bass","527",1995-08-09,"BK",NA,NA
"CENTROPRISTIS STRIATA","BLACK SEA BASS",141,"BLSEABAS","823217003040000","CENSTR","8835020301",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Centropristis striata","Black Sea Bass","141",1995-08-09,"BK",NA,NA
"CENTROSCYLLIUM FABRICII","BLACK DOGFISH",7,"BLADOG","822031501010000",NA,"8710010901",NA,"S",NA,"(REINHARDT, 1825)","AFS-1991",NA,"REMOVED EXTRA SPACE","Centroscyllium  fabricii","Black Dogfish","007",1995-08-09,"BK",NA,NA
"CEPHALOPODA","SQUID, CUTTLEFISH, AND OCTOPOD UNCL",501,"SQUIDU","515000000000000","CEPHAL","57",NA,"C",NA,"CUVIER,1797","AFS-1988",NA,"|SV: PUT INVALID TAXONOMIC GP WITH CEPHALOPODA, REFERS MOSTLY TO ILLEX & LOLIGO","Chrondrophora sp","Squid Uncl","501",1999-03-08 14:18:11,"FPA",NA,NA
"CEPHALOPODA BEAKS","SQUID BEAKS",NA,NA,"515000000000005","CEPBEA","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERASTODERMA PINNULATUM","NORTHERN DWARF-COCKLE",NA,NA,"512080302010000","CERPIN","5515220601",NA,"S",NA,"(CONRAD,1831)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERASTODERMA SP",NA,NA,NA,"512080302000000","CERASP","55152206",NA,"G",NA,"POLI,1795","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERATOCEPHALE LOVENI",NA,NA,NA,"214111401010000","CERLOV","5001240601",NA,"S",NA,"MALMGREN",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CEREBRATULUS SP",NA,NA,NA,"091010101000000","CERESP","43030202",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERIANTHEOPSIS AMERICANA",NA,NA,NA,"052230102010000","CERAME","3743010201",NA,"S",NA,"(VERRILL, 1862)","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERIANTHIDAE","TUBE-DWELLING ANEMONE UNCL",NA,NA,"052230100000000","CERFAM","374301",NA,"F",NA,NA,"AFS-1991",NA,"SINGLE FAMILY IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERIANTHIDAE TUBES","CERIANTHID TUBES",NA,NA,"052230100000009","CERTUB","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI CODE",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERIANTHUS BOREALIS",NA,NA,NA,"052230101020000","CERBOR","3743010102",NA,"S",NA,"VERRILL, 1873","AFS-1991",NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CERITHIIDAE",NA,NA,NA,"514040900000000","CERFA1","510346",NA,"F",NA,"FLEMING, 1822","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CESTODA","TAPE WORM UNCL",NA,NA,"071000000000000","CESTOD","3960",NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CETORHINUS MAXIMUS","BASKING SHARK",6,"BASKSH",NA,NA,"8707040201",NA,"S",NA,"(GUNNERUS, 1765)","AFS-1991",NA,NA,"Cetorhinus maximus","Basking Shark","006",1995-08-09,"BK",NA,NA
"CHAETODERMA NITIDULUM","GLISTEN-WORM SOLENOGASTER",NA,NA,"511010101040000","CHANIT","5402010102",NA,"S",NA,NA,"AFS-1988",NA,"MONOTYPIC GENUS IN AREA",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHAETODIPTERUS FABER","ATLANTIC SPADEFISH",659,"SPADE",NA,NA,"8835520101",NA,"S",NA,"(BROUSSONET)","AFS-1991",NA,NA,"Chaetodipterus faber","Atlantic Spadefish","659",1995-08-09,"BK",NA,NA
"CHAETODON ACULEATUS","LONGSNOUT BUTTERFLYFISH",864,"LONBUT",NA,NA,"8835550135",NA,"S",NA,NA,"AFS-1991",NA,"|SV: NAME CHANGE AFS-1980","Prognathodes aculeatus","Longsnout Butterflyfish","864",1995-08-09,"BK",NA,NA
"CHAETODON AYA","BANK BUTTERFLYFISH",660,"BANKBUT",NA,NA,"8835550102",NA,"S",NA,"JORDAN","AFS-1991",NA,NA,"Chaetodon aya","Bank Butterflyfish","660",1995-08-09,"BK",NA,NA
"CHAETODON CAPISTRATUS","FOUREYE BUTTERFLYFISH",661,"4EYEBUT",NA,NA,"8835550103",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Chaetodon capistratus","Foureye Butterflyfish","661",1995-08-09,"BK",NA,NA
"CHAETODON OCELLATUS","SPOTFIN BUTTERFLYFISH",662,"SPOTBUT",NA,NA,"8835550101",NA,"S",NA,"BLOCH","AFS-1991",NA,NA,"Chaetodon ocellatus","Spotfin Butterflyfish","662",1995-08-09,"BK",NA,NA
"CHAETODON SEDENTARIUS","REEF BUTTERFLYFISH",663,"REEFBUT",NA,NA,"8835550107",NA,"S",NA,"POEY","AFS-1991",NA,NA,"Chaetodon sedentarius","Reef Butterflyfish","663",1995-08-09,"BK",NA,NA
"CHAETODON STRIATUS","BANDED BUTTERFLYFISH",664,"BANBUT",NA,NA,"8835550108",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Chaetodon striatus","Banded Butterflyfish","664",1995-08-09,"BK",NA,NA
"CHAETODONTIDAE","BUTTERFLYFISH UNCL",855,"BUTFLYU",NA,NA,"883555",NA,"F",NA,NA,"AFS-1991",NA,"|SV: MINOR EDITS","Chaetodontidae sp","Butterflyfish Uncl","855",1998-12-31 23:00:00,"FPA",NA,NA
"CHAETOGNATHA","ARROW WORM UNCL",NA,NA,"550000000000000","CHAETO","83",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHAETOPTERIDAE",NA,NA,NA,"214150300000000","CHAFAM","500149",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHASCANOPSETTA LUGUBRIS","PELICAN FLOUNDER",778,"PELFL",NA,NA,"8857030701",NA,"S",NA,"ALCOCK","AFS-1991",NA,NA,"Chascanopsetta lugubris","Pelican Flounder","778",1995-08-09,"BK",NA,NA
"CHASMODES BOSQUIANUS","STRIPED BLENNY",729,"STRBLEN",NA,NA,"8842010301",NA,"S",NA,"(LACEPEDE)","AFS-1991",NA,NA,"Chasmodes bosquianus","Striped Blenny","729",1995-08-09,"BK",NA,NA
"CHAULIODUS DANAE",NA,241,"CDANAE",NA,NA,"8759060102",NA,"S",NA,NA,"SCOTT&SCOTT-182","GIBBS 1984 GLOFNAM P.336",NA,"Chauliodus danae","Chauliodus Danae","241",1995-08-09,"BK",NA,NA
"CHAULIODUS SLOANI","VIPERFISH",240,"VIPER","823190102010000","CHUSLO","8759060103",NA,"S",NA,"SCHNEIDER","SCOTT&SCOTT-182","MORROW 1964 FWNA 4:283, FIG. 74",NA,"Chauliodus sloani","Viperfish","240",1995-08-09,"BK",NA,NA
"CHAUNAX STIGMAEUS","REDEYE GAPER",862,"RGAPER",NA,NA,"8787030101",NA,"S",NA,NA,"Caruso 1989",NA,NA,"Chaunax pictus","Red Anglerfish","862",1999-03-08 14:27:54,"JM",NA,NA
"CHELONIA MYDAS","GREEN SEATURTLE",951,"GREEN",NA,NA,"9002040201",NA,"S",NA,"(LINNAEUS, 1758)","ZUG 1990",NA,"|SV: COMMON NAME CORRECTED TO ZUG 1990","Chelonia mydas","Green Turtle","951",1995-08-09,"BK",NA,NA
"CHILOMYCTERUS ANTILLARUM","WEB BURRFISH",847,"WEBBURR",NA,NA,"8861030103",NA,"S",NA,"JORDAN AND RUTTER","AFS-1991",NA,NA,"Chilomycterus antillarum","Web Burrfish","847",1995-08-09,"BK",NA,NA
"CHILOMYCTERUS ATINGA","SPOTTED BURRFISH",848,"SPOBURR",NA,NA,"8861030104",NA,"S",NA,"(LINNAEUS)","AFS-1991",NA,NA,"Chilomycterus atinga","Spotted Burrfish","848",1995-08-09,"BK",NA,NA
"CHILOMYCTERUS SCHOEPFI","STRIPED BURRFISH",198,"STRBURR",NA,NA,"8861030101",NA,"S",NA,"(WALBAUM)","AFS-1991",NA,NA,"Chilomycterus schoepfi","Striped Burrfish","198",1995-08-09,"BK",NA,NA
"CHIONOECETES OPILIO","SNOW CRAB",325,"QUEENCRA","411021803010000",NA,"6187010301",NA,"S",NA,"(FABRICIUS, 1788)","AFS-1989",NA,"|SV: CORRECTED TO AFS-1989 STANDARD","Chionectes opilio","Snow Crab","325",1999-03-12 13:07:16,"FPA",NA,NA
"CHIRIDOTEA ALMYRA",NA,NA,NA,"411030601010000","CHIALM","6162030101",NA,"S",NA,"BOWMAN, 1955",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHIRIDOTEA ARENICOLA",NA,NA,NA,"411030601050000","CHIARE","6162030102",NA,"S",NA,"WIGLEY, 1960",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHIRIDOTEA CAECA",NA,NA,NA,"411030601020000","CHICAE","6162030103",NA,"S","S","(SAY, 1818)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHIRIDOTEA NIGRESCENS",NA,NA,NA,"411030601030000","CHINIG","6162030104",NA,"S",NA,"WIGLEY, 1961",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CHIRIDOTEA SP",NA,NA,NA,"411030601000000","CHIRSP","61620301",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CALLINECTES SAPIDUS","BLUE CRAB",314,"BLUECRAB","411023003010000","CALSAP","6189010301",NA,"S",NA,"RATHBUN, 1896","AFS-1989",NA,NA,"Callinectes sapidus","Blue Crab","314",1995-08-09,"BK",NA,NA
"CALLIOPIIDAE",NA,NA,NA,"411010800000000","CALFA2","616912",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CALLIOPIUS LAEVIUSCULUS",NA,NA,NA,"411010801010000","CALLAE","6169120201",NA,"S",NA,"KROYER, 1838",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CALLIOPIUS SP",NA,NA,NA,"411010801000000","CALLSP","61691202",NA,"G",NA,"LILJEBORG, 1865",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CALOCARIS SP",NA,NA,NA,"411020102000000","CALOSP","61830202",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CALOCARIS TEMPLEMANI",NA,912,NA,"411020102020000","CALTEM","6183020201",NA,"S",NA,"SQUIRES, 1965","AFS-1989",NA,"CORRECTED TYPO (C. TEMPLEMANI A COMMON SPELLING)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CAMPANULARIIDAE",NA,NA,NA,"051010200000000","CAMFAM","370401",NA,"F",NA,NA,"AFS-1991",NA,"|FH: SPELLING CORRECTION",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANCER BOREALIS","JONAH CRAB",312,"JONAH","411020401010000","CANBOR","6188030107",NA,"S",NA,"STIMPSON, 1859","AFS-1989",NA,NA,"Cancer borealis","Jonah Crab","312",1995-08-09,"BK",NA,NA
"CANCER IRRORATUS","ATLANTIC ROCK CRAB",313,"ROCKCRAB","411020401020000","CANIRR","6188030108",NA,"S",NA,"SAY, 1817","AFS-1989",NA,"|SV: CORRECTED TO AFS-1989 STANDARD","Cancer irroratus","Rock Crab","313",1995-08-09,"BK",NA,NA
"CANCER SP",NA,NA,NA,"411020401000000","CANCSP","61880301",NA,"G",NA,NA,"AFS-1989",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANCER SP LARVAE","CANCER LARVAE",NA,NA,"411020401000200","CANCS1","NONE",NA,NA,NA,NA,"FH-1995",NA,"SPECIAL FCDI LIFE STAGE CATEGORY",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANCRIDAE","CANCER CRAB UNCL",311,"CANCERU","411020400000000","CANFAM","618803",NA,"F",NA,NA,"AFS-1989",NA,"|SV: CORRECTED TO AFS-1989 STANDARD","Cancridae sp","Cancer Crab Uncl","311",1998-12-31 23:00:00,"FPA",NA,NA
"CANDACIA ARMATA",NA,NA,NA,"411081901010000","CANARM","6118260104",NA,"S",NA,"BOECK, 1872",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANDACIA NORVEGICA",NA,NA,NA,"411081901040000","CANNOR","6118260112",NA,"S",NA,"(BOECK, 1865)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANDACIA SP",NA,NA,NA,"411081901000000","CANDSP","61182601",NA,"G",NA,"DANA, 1846",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CANTHIDERMIS SUFFLAMEN","OCEAN TRIGGERFISH",835,"OCEANTRI",NA,NA,"8860020502",NA,"S",NA,"(MITCHILL)","AFS-1991",NA,NA,"Canthidermis sufflamen","Ocean Triggerfish","835",1995-08-09,"BK",NA,NA
"CANTHIGASTER ROSTRATA","SHARPNOSE PUFFER",842,"SHAPUFF",NA,NA,"8861010401",NA,"S",NA,"(BLOCH)","AFS-1991",NA,NA,"Canthigaster rostrata","Sharpnose Puffer","842",1995-08-09,"BK",NA,NA
"CAPITELLIDAE",NA,NA,NA,"214020200000000","CAPFAM","500160",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"CAPRELLA SP",NA,NA,NA,"411010903000000","CAPRSP","61710107",NA,"G",NA,"GUILDING,1824",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
